venue_id,name,slug,address,city,city_slug,country,latitude,longitude,rating_score,rating_volume,price_range,online,delivers,delivery_price,estimate_minutes,estimate_range,short_description,tags,scraped_at
67ee450b28e330dbc6d8990b,La Roche-Posay & Vichy & CeraVe,la-roche-posay-vichy-cerave,"Narimanov district. Khan Shushinski street, house 90G",Baku,baku,AZE,40.39858454,49.83607726,9.6,194,2,True,True,0.0,50,45-55,🩵,,2026-02-10T20:08:13.144709
612cceed6ee77d6ebcb7d98b,Suluquni Səməd Vurğun,suluquni-s-vurghun,S. Vurğun 172 E,Baku,baku,AZE,40.39456283,49.83437598,9.4,90,1,True,True,0.0,45,40-50,"Bakını tərk etmədən Gürcüstanı ziyarət edin!
Mağazamız Gürcüstandan real məhsullar təklif edir.","şərab,gürcü,deli",2026-02-10T20:08:14.001867
68aedb45946120242753c873,Fikus Elmlər,fikus-yasamal,"14 Mikayıl Müşfiq, Yasamal (9R8C+78P Баку)",Baku,baku,AZE,40.3657125,49.8208281,9.6,54,2,True,True,0.0,50,45-55,Fikus Elmlər🌸,"çiçəklər,buket",2026-02-10T20:08:14.751436
6759f3acf074eebabcdde973,Mindall Coffee & Pastry,mindall-coffee-pastry,"Narimanov rayonu, Asiq Molla Cüme 46b",Baku,baku,AZE,40.41141166,49.85789646,8.8,48,2,True,True,0.0,60,55-65,☕️,"kofe,desert,içkilər",2026-02-10T20:08:15.488861
64a6bf55b233fe253b52db94,Baseus Telekom,baseus-telecom,"Narimanov district, Tabriz street. 108A",Baku,baku,AZE,40.40282244,49.87130029,8.8,48,2,True,True,0.0,40,35-45,Elektronika və aksesuarlar,"Electronics,headphones",2026-02-10T20:08:16.237911
651d219c07e74f7f8a2f24a6,Sterling Cigar Co.,oliva-cigar-shop,9R9R+VHM Baku,Baku,baku,AZE,40.36990224,49.84169174,9.2,19,2,True,True,0.0,20,15-25,Ənənənin zövqlə görüşdüyü yer 🫶🏻,,2026-02-10T20:08:17.052738
69395ad0d5044dcbe06380cc,Toscana,toscanaa,"Nasimi area, Reshid Behbudov avenue, building 48",Baku,baku,AZE,40.3811375,49.8437344,,,2,True,True,0.0,35,30-40,Dad və keyfiyyət bir arada,"tort,piroq",2026-02-10T20:08:17.779096
646ca0d73445b05b7a4f5450,VAPE BAR,vapebar,"Narimanov district, Koroglu Rahimov street. 22",Baku,baku,AZE,40.40051644,49.8586113,9.0,45,2,True,True,0.0,40,35-45,VAPE BAR - ən innovativ elektron siqaret və qəlyanların satış nöqtəsidir. Bütün vaperlər üçün geniş seçim təklif edirik. Sizi vape mədəniyyətinin ab-havasından bizimlə həzz almağa dəvət edirik!,,2026-02-10T20:08:18.543415
62013302a7307aded765ab90,Flowers,flowers,Samad Vurgun 85c,Baku,baku,AZE,40.38851799,49.8362763,8.0,32,2,True,True,0.0,40,35-45,"Çiçək, buket və qızılgül.",buket,2026-02-10T20:08:19.353702
673662ceb7f7ae3ca9a35213,Karabakh Honey House,karabakh-honey-house,Molla Vali Vidadi 148,Baku,baku,AZE,40.37536594,49.83975165,,,2,True,True,0.0,30,25-35,"Qarabağdan və Kəlbəcərdən təbii bal. Güclü olun, sağlam olun",azərbəycan,2026-02-10T20:08:20.276702
692c1e95da749ea88a1d861f,İmza Pastry,imza-pastry,Mirali Seyidov Street 1,Baku,baku,AZE,40.37475217591577,49.80711007321656,,,2,True,True,0.0,35,30-40,İmza- sevginin dadını hiss et.,"tort,un məmulatları,azərbəycan",2026-02-10T20:08:21.052287
61e3087ca7e3630cdb60e020,BОUQUET&CO,bouquet,Parlament Avenue 52F,Baku,baku,AZE,40.36345825,49.82001381,9.0,29,3,True,True,0.0,50,45-55,Təbiəti Evinizə Köçürün,çiçəklər,2026-02-10T20:08:21.787811
68e50197e1bf7b0f3925850a,Grido Hədiyyə Mağazası,grido-hediyye-magazasi,9VH2+5M9 Baku,Baku,baku,AZE,40.3779125,49.8517344,9.6,54,2,True,True,0.0,35,30-40,🧴🌸💖,"cosmetics,parfum,nail polish ",2026-02-10T20:08:22.624300
618907a450c3bf42f1267963,Vape Market,vaporlax,"Narimanov district, Hasan Aliyev 117",Baku,baku,AZE,40.40363575,49.85408624,9.0,104,2,True,True,0.0,40,35-45,"Vape Art - Electronic Cigarettes, Vape Devices, and Tobacco

Our store offers a wide range of vape devices, electronic cigarettes, salt liquids, and tobacco products. The most popular brands: Elfbar, Hqd, Vozol, Oxbar, Mosmo, Voopoo, Vaporesso, and more. Perfect choices for vape enthusiasts are here!",Electronics,2026-02-10T20:08:23.422832
6540b16ae8a684b7d253df1b,ASSORTİ,evde-ucuzluq,"Bakı şəh. Nərimanov ray., Qarabağ küç. 26",Baku,baku,AZE,40.38957085,49.85741385,9.6,259,1,True,True,0.0,55,50-60,"""Evdə Ucuzluq"" - Sədərək Qiymətləri 💯","gifts,cosmetics",2026-02-10T20:08:24.164460
666967ebc7c3307caeb2acb3,Zoo Mafia Badamdar,zoo-mafia,Səbail rayonunda ev 3. Nefçilər döngəsi m 1,Baku,baku,AZE,40.3363282,49.80548699,9.8,31,1,True,True,0.0,45,40-50,Zoo Mafia,"pet food,pet supply",2026-02-10T20:08:24.944714
67a1fd640962043cad3c3e75,Flora Holland 28 May,flora-holland-28-may,"Nasimi district, Kovkab Safaraliyeva, house 19A",Baku,baku,AZE,40.38048623,49.85701411,8.0,31,2,True,True,0.0,35,30-40,Xarici və yerli güllərin topdan və pərakəndə satışı,"buket,azərbəycan",2026-02-10T20:08:25.706406
691d9c4d02538ee1f0a716ae,EVAVET Zoomarket,evavet,Masazir distr.,Baku,baku,AZE,40.45653565,49.75778985,9.6,10,2,True,True,0.0,70,65-75,Heyvanları sevək!,"pet food,pet supply,it yeməyi",2026-02-10T20:08:26.592530
69280a57b9ba479c3e05fc27,Croisserie,croisserie,Narimanov district SABIT RAHMAN house 76.78.8082 apt. 1,Baku,baku,AZE,40.39968429320487,49.83326177262336,,,2,True,True,0.0,45,40-50,Hər dad bir xatirə yaradır,"un məmulatları,desert,kofe",2026-02-10T20:08:27.398053
65d848ff24210cd775d578dd,Organic Meyvə Tərəvəz,bizim-kandin-mahsullar-organic,Nazim Hajiyev str.,Baku,baku,AZE,40.39157565,49.80108277,7.8,21,1,True,True,0.0,45,40-50,Orqanik Meyvə və Tərəvəz🍓🥑,"meyvə,tərəvəz,vegetarian",2026-02-10T20:08:28.158074
62e3942790c2ed57df053896,Sweet Cakes Baku,sweet-cakes-baku,"Yasamal district, Izmir 43D",Baku,baku,AZE,40.39080167,49.82266454,9.2,252,2,True,True,0.0,55,50-60,Təzə dadlı tortlar və desertlər🎂,"tort,un məmulatları,içkilər",2026-02-10T20:08:28.932431
653d03cf1ca0cee22517d8c9,MochiHome,mochihome,"Parlament prospekti, 1",Baku,baku,AZE,40.35507788,49.81647639,9.0,26,1,True,True,0.0,45,40-50,"Kiçik ləzzətlər, böyük təbəssümlər 🍡🫶🏻","şirniyyatlar,yapon,tort",2026-02-10T20:08:29.693582
6363af9ea3a035d53f50ba35,Mürəbbə Bakı,murabba-baku,NZS yaxınlığı,Baku,baku,AZE,40.38485917,49.91722054,9.4,69,2,True,True,0.0,55,50-60,Orqanik mürəbbələr🍇🍓,"orqanik,sağlam,grocery",2026-02-10T20:08:30.479999
651d0b5386a332cdeffe47ab,Baku Roses Flowers,baku-roses-nasimi,"Nəsimi rayonu, Ənvər Qasımzadə küçəsi, ev 50, 52",Baku,baku,AZE,40.39136748,49.84318334,9.4,41,2,True,True,0.0,35,30-40,Təbəssümünüzü Düşünərək Yarandıq!,"buket,çiçəklər,toys ",2026-02-10T20:08:31.240272
68ee0a1ba3f8d768d46df43d,Buzzz,buzzz,"Nizami district, Keshla SHTG, Gurban Sadiq street, house 27 9WP3+89G",Baku,baku,AZE,40.385916310451165,49.9034006815651,9.4,34,2,True,True,0.0,50,45-55,🧊,,2026-02-10T20:08:32.024337
61ee69a54c98d4e35b0880fe,Skazka Baku,skazka-baku,Inshaatchilar Avenue 38,Baku,baku,AZE,40.38489947,49.82391156,9.4,72,2,True,True,0.0,40,35-45,Uşaqlara xoşbəxtliq gətiririk,"boardgames ,Kitablar,games",2026-02-10T20:08:32.808263
